"Name","Pokedex Number","Type1","Type2","Classification","Height (m)","Weight (kg)","Abilities","Generation","Legendary Status","Ecology"
"Snover","459","Grass","Ice","Frost Tree Pokémon","1","50.5","Snow-warning, Soundproof","4","No","Snover resides in snowy mountains and frigid forests. Snover feeds on berries that grow among the snowy landscape, often buried beneath the snow. These Pokémon are typically solitary but can be found in small groups in protected groves. Snover tends to be shy and quiet, and they possess a calm personality adapted for surviving the cold."
"Abomasnow","460","Grass","Ice","Frost Tree Pokémon","2.2","135.5","Snow-warning, Soundproof","4","No","Abomasnow live high on snowy mountains, where it is bitterly cold year-round. They feed on tree bark and the few resilient plants that can withstand the harsh environment. Abomasnow are solitary and territorial Pokémon. Abomasnow has a grumpy and brooding personality due to its life in isolation."
"Weavile","461","Dark","Ice","Sharp Claw Pokémon","1.1","34","Pressure, Pickpocket","4","No","Weavile typically live in snowy, mountainous regions, often near human settlements. They are opportunistic omnivores, eating both small animals and berries. Weavile often form small packs led by an alpha. Known for their cunning and sneaky personalities, Weavile are known for their collaborative hunting strategies and coordinated attacks."
"Magnezone","462","Electric","Steel","Magnet Area Pokémon","1.2","180","Magnet-pull, Sturdy, Analytic","4","No","Magnezone are found in areas with strong magnetic fields, such as power plants or mountainous regions with mineral deposits. They are believed to subsist on electricity, absorbing energy from the environment. Magnezone gather in groups to amplify their magnetic powers, creating unusual atmospheric phenomena. Known for their methodical and calculating personalities, Magnezone approach problems with analytical precision."
"Lickilicky","463","Normal","","Licking Pokémon","1.7","140","Own-tempo, Oblivious, Cloud-nine","4","No","Lickilicky are usually found near grassy plains and forests, often near bodies of water. They have an indiscriminate diet, licking up anything that appears remotely edible with their long tongues. Lickilicky tend to be solitary but aren't aggressive, often ignoring others nearby. Their curious and relaxed demeanor makes them a relatively peaceful, if somewhat aloof, presence."
"Rhyperior","464","Ground","Rock","Drill Pokémon","2.4","282.8","Lightning-rod, Solid-rock, Reckless","4","No","Rhyperior primarily inhabit rocky terrains, from caves to volcanic mountains. They consume rocks and minerals for sustenance and to strengthen their armor. Rhyperior are solitary Pokémon. Rhyperior are very protective and have an explosive temper when provoked. They can be both defensive and destructive."
"Tangrowth","465","Grass","","Vine Pokémon","2","128.6","Chlorophyll, Leaf-guard, Regenerator","4","No","Tangrowth reside in dense jungles and overgrown areas, where their vine-like bodies allow them to move and blend seamlessly with the environment. They photosynthesize for food. Tangrowth are usually solitary. Tangrowth have a gentle and playful nature. They are shy, preferring to wrap themselves with their vines when startled."
"Electivire","466","Electric","","Thunderbolt Pokémon","1.8","138.6","Motor-drive, Vital-spirit","4","No","Electivire typically inhabit power plants and areas with strong electrical activity. They feed on electricity and are often solitary, preferring to live and hunt alone. Electivire are known for their aggressive nature and are often seen battling other Electric-type Pokémon for territory."
"Magmortar","467","Fire","","Blast Pokémon","1.6","68","Flame-body, Vital-spirit","4","No","Magmortar reside in volcanic regions and areas with intense heat. They consume molten rocks and other fiery substances for sustenance. Magmortar are solitary creatures with a fiery temper and are known to fiercely protect their territory."
"Togekiss","468","Fairy","Flying","Jubilee Pokémon","1.5","38","Hustle, Serene-grace, Super-luck","4","No","Togekiss inhabit lush forests and mountaintops where the air is clean and pure. They feed on berries and nectar and are known for their gentle and peaceful nature. Togekiss are social creatures, often living in small flocks and are believed to bring good luck to those they encounter."
"Yanmega","469","Bug","Flying","Ogre Darner Pokémon","1.9","51.5","Speed-boost, Tinted-lens, Frisk","4","No","Yanmega thrive in swamps, marshes, and other wetland environments. They hunt smaller insects and other invertebrates, using their sharp mandibles to capture prey. Yanmega are often solitary hunters, patrolling their territories with speed and precision. They are known for their territorial behavior and will aggressively defend their hunting grounds."
"Leafeon","470","Grass","","Verdant Pokémon","1","25.5","Leaf-guard, Chlorophyll","4","No","Leafeon typically live in lush forests and meadows, where they absorb sunlight for sustenance through photosynthesis. They have a diet consisting mainly of sunlight and fresh water. Leafeon are solitary creatures, preferring to live in secluded areas where they can peacefully bask in the sun. They are known for their gentle nature and close connection to nature."
"Glaceon","471","Ice","","Fresh Snow Pokémon","0.8","25.9","Snow-cloak, Ice-body","4","No","Glaceon inhabit icy caves and frozen environments, thriving in cold temperatures. They obtain nourishment by absorbing heat from the environment and can freeze the surrounding air to create ice crystals. Glaceon are solitary creatures, preferring to live in isolation within their icy habitats. They are known for their calm and serene demeanor."
"Gliscor","472","Ground","Flying","Fang Scorpion Pokémon","2","42.5","Hyper-cutter, Sand-veil, Poison-heal","4","No","Gliscor inhabit rocky cliffs and caves, often living in arid or semi-arid environments. They are nocturnal hunters, feeding on insects, small mammals, and fruits. Gliscor are solitary creatures, preferring to hunt and live alone. They are known for their territorial behavior and will fiercely defend their hunting grounds."
"Mamoswine","473","Ice","Ground","Twin Tusk Pokémon","2.5","291","Oblivious, Snow-cloak, Thick-fat","4","No","Mamoswine thrive in frigid, icy environments. They have thick fur that protects them from the cold and use their tusks to dig through snow for food. They consume roots, berries, and other vegetation found beneath the snow. Mamoswine typically live in herds and are known for their gentle nature despite their large size."
"Porygon-z","474","Normal","","Virtual Pokémon","0.9","34","Adaptability, Download, Analytic","4","No","Porygon-Z are typically found in virtual environments, such as computer networks and digital landscapes. They consume data and information, using their advanced programming to process and analyze vast amounts of data. Porygon-Z are solitary creatures, preferring to explore and learn within the digital realm. They are known for their curious and inquisitive nature."
"Gallade","475","Psychic","Fighting","Blade Pokémon","1.6","52","Steadfast, Sharpness, Justified","4","No","Gallade often inhabit mountainous regions and forests, where they train and hone their skills. They consume fruits, berries, and small insects for sustenance. Gallade are solitary Pokémon, typically living and training alone to perfect their swordsmanship. They are known for their strong sense of justice and unwavering loyalty."
"Probopass","476","Rock","Steel","Compass Pokémon","1.4","340","Sturdy, Magnet-pull, Sand-force","4","No","Probopass reside in caves, mines, and areas with strong magnetic fields. They consume iron-rich rocks and minerals, using their magnetic abilities to attract and manipulate these resources. Probopass live in small groups, often led by an older, more experienced individual. They are known for their territorial nature and will defend their home against intruders."
"Dusknoir","477","Ghost","","Gripper Pokémon","2.2","106.6","Pressure, Frisk","4","No","Dusknoir are said to inhabit dark and abandoned places, such as old buildings, ruins, and cemeteries. They are believed to guide lost spirits to the afterlife and consume the wandering souls of the deceased. Dusknoir are typically solitary creatures, lurking in the shadows and silently observing the world around them. They are known for their mysterious and ominous presence."
"Froslass","478","Ice","Ghost","Snow Land Pokémon","1.3","26.6","Snow-cloak, Cursed-body","4","No","Froslass live in snowy mountain regions and are said to be the spirits of women who got lost in the snow. They feed on the life force of humans and Pokémon, freezing them with their breath. They are solitary creatures, known for their haunting beauty and ability to create illusions to lure their victims."
"Rotom","479","Electric","Ghost","Plasma Pokémon","0.3","0.3","Levitate","4","No","Rotom have no specific habitat, as they are able to inhabit various electrical appliances. They feed on electricity and can alter the function of the appliances they possess. They are often solitary, and while their personalities can vary, they are known for being mischievous and curious, sometimes causing trouble when possessing electronics."
"Uxie","480","Psychic","","Knowledge Pokémon","0.3","0.3","Levitate","4","Yes","Uxie lives in caves and is known to reside in Acuity Cavern in the Sinnoh region. Being one of the Lake Guardians, Uxie does not typically seek out a food source, and it's more focused on keeping its mental abilities at peak performance, often meditating. Uxie is very solitary, and very rarely appears before humans."
"Mesprit","481","Psychic","","Emotion Pokémon","0.3","0.3","Levitate","4","Yes","Mesprit is said to live at the bottom of Lake Verity, embodying emotion.  It's a solitary Pokémon, rarely seen by humans.  It is believed to balance emotions within those nearby."
"Azelf","482","Psychic","","Willpower Pokémon","0.3","0.3","Levitate","4","Yes","Azelf dwells at the bottom of Lake Valor and embodies willpower. It prefers solitude and is rarely seen by humans. It is believed to grant humans the will to overcome challenges."
"Dialga","483","Steel","Dragon","Temporal Pokémon","5.4","683","Pressure, Telepathy","4","Yes","Dialga lives in a different dimension, and controls the flow of time. When Dialga's heart beats, time is said to flow. Its habitat is unknown, as it exists outside of our perception of time and space.  It is solitary, and often found in areas of temporal distortion."
"Palkia","484","Water","Dragon","Spatial Pokémon","4.2","336","Pressure, Telepathy","4","Yes","Palkia is said to live in a different dimension. It has the ability to distort space.  When Palkia breathes, space is believed to become more stable.  Its habitat is in an alternate dimension, often appearing where spatial distortions are strongest. It's a solitary Pokémon."
"Heatran","485","Fire","Steel","Lava Dome Pokémon","1.7","430","Flash-fire, Flame-body","4","Yes","Heatran dwells in volcanic caves and areas near magma flows. It is known for its aggressive and territorial nature. They are solitary creatures, constantly seeking out sources of heat and molten rock to sustain their fiery bodies. They feed on minerals and geothermal energy."
"Regigigas","486","Normal","","Colossal Pokémon","3.7","420","Slow-start","4","Yes","Regigigas is said to have created the Legendary Titans (Regirock, Regice, Registeel). Regigigas is typically dormant, awakening only when a significant event occurs.  It dwells in ancient ruins.  It is a solitary creature."
"Giratina-altered","487","Ghost","Dragon","Renegade Pokémon","4.5","750","Pressure, Telepathy","4","Yes","Giratina, in its Altered Forme, dwells in the Distortion World, a dimension parallel to our own. It is believed to maintain the balance between dimensions. Giratina is an aggressive and solitary Pokémon, constantly seeking to stabilize its unstable home."
"Cresselia","488","Psychic","","Lunar Pokémon","1.5","85.6","Levitate","4","Yes","Cresselia constantly flies around the world, seeking to soothe nightmares. When Cresselia flaps its wings, it releases shimmering particles. Those particles are said to bring restful dreams to those who touch them. It is a solitary Pokémon that can be found near islands."
"Phione","489","Water","","Sea Drifter Pokémon","0.4","3.1","Hydration","4","Yes","Phione are often seen drifting in warm seas. They form groups and float together in the ocean's currents, feeding on seaweed and plankton.  It's a social Pokémon."
"Manaphy","490","Water","","Seafaring Pokémon","0.3","1.4","Hydration","4","Yes","Manaphy are born in cold seas.  They journey great distances to return to their place of birth. Manaphy is able to bond with any kind of Pokémon. Manaphy tend to travel alone, and feed off small shellfish."
"Darkrai","491","Dark","","Pitch-Black Pokémon","1.5","50.5","Bad-dreams","4","Yes","Darkrai haunts the dreams of others, inflicting nightmares. To protect itself, it induces endless nightmares in anyone who approaches its location.  Darkrai lives in a darkened forest on a crescent moon-shaped island.  It's a solitary creature."
"Shaymin-land","492","Grass","","Gratitude Pokémon","0.2","2.1","Natural-cure","4","Yes","Shaymin lives in flower patches and grasslands, absorbing pollutants to transform them into flowers. It migrates when the flowers of the Gracidea key bloom, following the wind. Shaymin travels in packs, blooming flowers where they walk. They feed on sunlight and rainwater."
"Arceus","493","Normal","","Alpha Pokémon","3.2","320","Multitype","4","Yes","Arceus is said to have shaped the universe with its 1,000 arms. Arceus appears where it senses genuine respect and gratitude. It is said that it dwells in the Hall of Origin, high above Sinnoh, beyond Mount Coronet.  It lives alone, and appears where it senses genuine respect and gratitude."
"Victini","494","Psychic","Fire","Victory Pokémon","0.4","4","Victory-star","5","Yes","Victini is said to bring victory to trainers. It shares the infinite energy it creates. Victini is thought to appear in places where great ambitions are held. It nests in special energy spots, and is generally solitary."
"Snivy","495","Grass","","Grass Snake Pokémon","0.6","8.1","Overgrow, Contrary","5","No","Snivy prefer sunny environments. They're highly intelligent, cautious Pokémon. A Snivy basks in the sun. But when it gets dirty, it uses the leaves on its tail to absorb light and clean itself.  Snivy are generally solitary, and primarily consume sunlight."
"Servine","496","Grass","","Grass Snake Pokémon","0.8","16","Overgrow, Contrary","5","No","Servine primarily inhabits lush forests and grasslands. They are typically solitary Pokémon, gracefully moving through the undergrowth in search of sunlight and moisture. Their diet mainly consists of berries and leaves, which they carefully select for optimal nutrition. Servine possess a calm and collected demeanor, often basking in the sun to conserve energy."
"Serperior","497","Grass","","Regal Pokémon","3.3","63","Overgrow, Contrary","5","No","Serperior are found in dense, old-growth forests, where they reign as elegant and powerful Pokémon. They are solitary creatures, rarely seen in groups, preferring to establish their own territory. Serperior feed on high-energy fruits and the occasional small Pokémon, exhibiting a regal and composed personality, always maintaining a graceful posture."
"Tepig","498","Fire","","Fire Pig Pokémon","0.5","9.9","Blaze, Thick-fat","5","No","Tepig lives in warm, grassy areas, often near human settlements. They are social creatures, living in small groups or families. Tepig are omnivorous, eating berries, nuts, and occasionally scavenging for discarded food. They have a cheerful and playful personality, often emitting puffs of smoke from their snouts when excited."
"Pignite","499","Fire","Fighting","Fire Pig Pokémon","1","55.5","Blaze, Thick-fat","5","No","Pignite dwells in volcanic regions or areas with hot springs, where they can wallow in the warmth. They live in small packs, relying on each other for protection. Pignite are omnivorous, feeding on roasted berries and occasionally hunting for prey using their fiery attacks. These Pokémon are known for their short temper and love of battling."
"Emboar","500","Fire","Fighting","Mega Fire Pig Pokémon","1.6","150","Blaze, Reckless","5","No","Emboar inhabits mountainous regions with active volcanoes. They are solitary Pokémon that mark their territory with fire. Emboar are omnivorous, eating charred fruits, plants, and larger prey they defeat in combat. Emboar display a strong sense of loyalty and are fiercely protective of their friends and family."
"Oshawott","501","Water","","Sea Otter Pokémon","0.5","5.9","Torrent, Shell-armor","5","No","Oshawott resides along coastlines and freshwater rivers. They live in small, closely-knit groups and are adept swimmers and hunters. Oshawott are carnivorous, consuming primarily shellfish, which they crack open with their scalchop. They are playful and curious Pokémon, known for their eagerness to learn new skills."
"Dewott","502","Water","","Discipline Pokémon","0.8","24.5","Torrent, Shell-armor","5","No","Dewott lives near bodies of water like lakes, rivers, and the ocean. They often form small training groups and practice swordsmanship with their scalchops. Dewott are carnivorous and hunt for fish and shellfish, exhibiting a disciplined and focused personality, always striving to improve their skills."
"Samurott","503","Water","","Formidable Pokémon","1.5","94.6","Torrent, Shell-armor","5","No","Samurott inhabit coastal regions and secluded islands. They are typically solitary Pokémon that establish territories along the shore. Samurott are carnivorous, consuming large fish and sea creatures which they hunt with precision. Known for their strong sense of honor and leadership, Samurott are respected by other Pokémon."
"Patrat","504","Normal","","Scout Pokémon","0.5","11.6","Run-away, Keen-eye, Analytic","5","No","Patrat are found in grassy fields and urban environments, living in groups led by a Watchog. They act as scouts, warning the group of any potential danger. Patrat are primarily herbivorous, consuming seeds and berries, and are known for being cautious and alert, always on the lookout for threats."
"Watchog","505","Normal","","Lookout Pokémon","1.1","27","Illuminate, Keen-eye, Analytic","5","No","Watchog live in grassy plains and caves, acting as leaders for groups of Patrat. They watch over their territory and warn others of danger. Watchog are omnivorous, eating both plants and insects, possessing a vigilant and responsible personality, always prioritizing the safety of their group."
"Lillipup","506","Normal","","Puppy Pokémon","0.4","4.1","Vital-spirit, Pickup, Run-away","5","No","Lillipup are found in urban and rural environments, often living near people due to their friendly nature. They live in packs or with human families. Lillipup are omnivorous, eating pet food and foraged goods, displaying a curious and playful personality, enjoying exploring their surroundings."
"Herdier","507","Normal","","Loyal Dog Pokémon","0.9","14.7","Intimidate, Sand-rush, Scrappy","5","No","Herdier live in close proximity to humans and are commonly found in towns, farms and city environments, where they perform tasks like herding. They live in packs and stay loyal to trainers that bond with them. They eat animal feed as well as meat, having a protective and responsible nature, always working to maintain the safety of the herd."
"Stoutland","508","Normal","","Big-Hearted Pokémon","1.2","61","Intimidate, Sand-rush, Scrappy","5","No","Stoutland often reside in towns and cities, offering aid to people who have lost their way or are in need of help in the mountains, due to their expertise. They live alone in packs but love affection from a trainer. They primarily consume meat and fish but also like a bit of animal feed as well, with a wise and gentle nature, they are looked up to for their helpful abilities."
"Purrloin","509","Dark","","Devious Pokémon","0.4","10.1","Limber, Unburden, Prankster","5","No","Purrloin are often found in urban areas, sneaking into buildings and stealing items. They tend to live in small, loosely affiliated groups. Purrloin have a diet that consists of discarded food and stolen goods. Purrloin tend to be mischievous and enjoy playing pranks."
"Liepard","510","Dark","","Cruel Pokémon","1.1","37.5","Limber, Unburden, Prankster","5","No","Liepard live in forests and ruins. They are solitary creatures, that only get together with each other to protect their claimed territory from being stolen by other Liepard. Liepard feast on smaller Pokémon which they trick into approaching before using their superior speed. Liepard tend to be quite sadistic, taking joy in harming others."
"Pansage","511","Grass","","Grass Monkey Pokémon","0.6","10.5","Gluttony, Overgrow","5","No","Pansage lives in forests, typically near bodies of water. It is herbivorous, consuming leaves and berries. Pansage lives in small groups and is known for its calm and friendly demeanor."
"Simisage","512","Grass","","Thorn Monkey Pokémon","1.1","30.5","Gluttony, Overgrow","5","No","Simisage lives in lush forests. It is herbivorous, consuming fruits, berries, and leaves. Simisage are solitary or live in small groups, known for their agility and tendency to gather in tree tops."
"Pansear","513","Fire","","High Temp Pokémon","0.6","11","Gluttony, Blaze","5","No","Pansear lives in volcanic regions. It eats charcoal to keep its internal fire burning, with a diet supplemented by nuts and berries. Pansear is a social Pokemon and often seen in groups."
"Simisear","514","Fire","","Ember Pokémon","1","28","Gluttony, Blaze","5","No","Simisear live in volcanic regions.  Its diet consists of charcoal, with a diet supplemented by nuts and berries. They can live in small family groups, often aggressive and quick to anger when disturbed."
"Panpour","515","Water","","Spray Pokémon","0.6","13.5","Gluttony, Torrent","5","No","Panpour live near freshwater sources.  Its diet consists of fresh berries. It is a social creature, living in small groups."
"Simipour","516","Water","","Geyser Pokémon","1","29","Gluttony, Torrent","5","No","Simipour live near freshwater sources, particularly rivers and lakes. It typically consumes a variety of aquatic plants and fruits found near the water. Simipour can be solitary or live in small family groups and is known for using its spout to provide water to plants."
"Munna","517","Psychic","","Dream Eater Pokémon","0.6","23.3","Forewarn, Synchronize, Telepathy","5","No","Munna inhabits caves and dreams, consuming the dreams of people and Pokemon. They live solitary lives, drifting where their dreams take them. Muna has a curious nature and gentle spirit."
"Musharna","518","Psychic","","Drowsing Pokémon","1.1","60.5","Forewarn, Synchronize, Telepathy","5","No","Musharna dwells in dream worlds. They sustain themselves by eating the dreams of people and Pokémon, and live a solitary life. They live alone, constantly dreaming."
"Pidove","519","Normal","Flying","Tiny Pigeon Pokémon","0.3","2.1","Big-pecks, Super-luck, Rivalry","5","No","Pidove are found in urban areas, parks, and forests. They forage seeds, berries, and scraps of food. Pidove typically live in flocks and communicate using gentle cooing sounds. They are known for their friendly and peaceful nature."
"Tranquill","520","Normal","Flying","Wild Pigeon Pokémon","0.6","15","Big-pecks, Super-luck, Rivalry","5","No","Tranquill inhabit forests and urban areas, particularly parks and gardens. They are omnivorous, consuming seeds, berries, insects, and scraps of food. Tranquill lives in small groups."
"Unfezant","521","Normal","Flying","Proud Pokémon","1.2","29","Big-pecks, Super-luck, Rivalry","5","No","Unfezant inhabit plains and forests, where they claim territories to call their own. Its diet is primarily omnivorous; eating seeds, berries, and insects. Males form groups to assert dominance, only the most capable gaining the respect of their peers."
"Blitzle","522","Electric","","Electrified Pokémon","0.8","29.8","Lightning-rod, Motor-drive, Sap-sipper","5","No","Blitzle roam plains and meadows.  It gains energy from thunder, storing it in its mane. Blitzle is herbivorous."
"Zebstrika","523","Electric","","Thunderbolt Pokémon","1.6","79.5","Lightning-rod, Motor-drive, Sap-sipper","5","No","Zebstrika roam open plains. It gains energy from absorbing electricity. Zebstrika eat plants, roots and sometimes tree bark. They are often solitary, marking territories to warn others of their space."
"Roggenrola","524","Rock","","Mantle Pokémon","0.4","18","Sturdy, Weak-armor, Sand-force","5","No","Roggenrola lives in caves and rocky areas. It typically feeds on mineral deposits, and lives in small clusters."
"Boldore","525","Rock","","Ore Pokémon","0.9","102","Sturdy, Weak-armor, Sand-force","5","No","Boldore live in caves and rocky terrain. It feeds on mineral deposits.  It can live on its own, or may form clusters."
"Gigalith","526","Rock","","Compressed Pokémon","1.7","260","Sturdy, Sand-stream, Sand-force","5","No","Gigalith are found in mountainous regions and caves. They are solitary Pokémon, rarely seen in groups. They feed on minerals they extract from rocks. Gigalith have a rough personality and are not easily approachable."
"Woobat","527","Psychic","Flying","Bat Pokémon","0.4","2.1","Unaware, Klutz, Simple","5","No","Woobat are cave-dwelling Pokémon. They live in dark, damp places and feed on the moisture found in the air. They are social Pokémon, living in colonies. Woobat are known for their calm and gentle personalities."
"Swoobat","528","Psychic","Flying","Courting Pokémon","0.9","10.5","Unaware, Klutz, Simple","5","No","Swoobat inhabits caves and dark forests. These social creatures live in groups and communicate through ultrasonic waves. Their diet consists of fruits and berries. They are known for their romantic and affectionate personalities."
"Drilbur","529","Ground","","Mole Pokémon","0.3","8.5","Sand-rush, Sand-force, Mold-breaker","5","No","Drilbur live underground in tunnels. They use their claws to dig through the earth, feeding on plant roots and small insects. Drilbur are solitary Pokémon and have a determined personality."
"Excadrill","530","Ground","Steel","Subterrene Pokémon","0.7","40.4","Sand-rush, Sand-force, Mold-breaker","5","No","Excadrill live in underground tunnels, creating complex networks for shelter. Their diet consists of minerals, plant roots, and small insects. These Pokémon are solitary and known for their diligent and industrious nature."
"Audino","531","Normal","","Hearing Pokémon","1.1","31","Healer, Regenerator, Klutz","5","No","Audino are commonly found in grassy fields and forests. They have excellent hearing abilities and are known for their caring nature. Audino form small family groups. They typically eat medicinal herbs and berries."
"Timburr","532","Fighting","","Muscular Pokémon","0.6","12.5","Guts, Sheer-force, Iron-fist","5","No","Timburr lives near construction sites and forests, often helping with heavy labor. They train by carrying logs to build their strength. These Pokémon are solitary and are known for their hardworking and simple personalities."
"Gurdurr","533","Fighting","","Muscular Pokémon","1.2","40","Guts, Sheer-force, Iron-fist","5","No","Gurdurr reside in construction sites and forests. They carry iron girders, which they use for training and combat. They often work alongside humans. Gurdurr are known for their industrious and reliable nature."
"Conkeldurr","534","Fighting","","Muscular Pokémon","1.4","87","Guts, Sheer-force, Iron-fist","5","No","Conkeldurr often live near construction sites, having worked alongside humans for many years. They teach younger Timburr and Gurdurr the skills they need. These Pokémon are solitary and are respected for their wisdom."
"Tympole","535","Water","","Tadpole Pokémon","0.5","4.5","Swift-swim, Hydration, Water-absorb","5","No","Tympole are found in freshwater ponds and marshes. They live in small groups and communicate through unique vibrations. Their diet consists of aquatic plants and small insects. They are timid but curious Pokémon."
"Palpitoad","536","Water","Ground","Vibration Pokémon","0.8","17","Swift-swim, Hydration, Water-absorb","5","No","Palpitoad are found in swamps and near bodies of water. They use the bumps on their body to create vibrations that can paralyze their prey. They eat small aquatic insects. They are solitary hunters and have an opportunistic nature."
"Seismitoad","537","Water","Ground","Vibration Pokémon","1.5","62","Swift-swim, Poison-touch, Water-absorb","5","No","Seismitoad inhabits marshes and wetlands. They use vibrations to weaken opponents, which are transmitted through bumps on their body. They eat large quantities of swamp vegetation and small creatures. They are territorial and live alone."
"Throh","538","Fighting","","Judo Pokémon","1.3","55.5","Guts, Inner-focus, Mold-breaker","5","No","Throh reside in mountainous regions and forests, living alone in specific training areas. They train rigorously in martial arts. Their diet is composed of roots, berries, and nuts. These Pokémon are known for their stoic personalities."
"Sawk","539","Fighting","","Karate Pokémon","1.4","51","Sturdy, Inner-focus, Mold-breaker","5","No","Sawk lives in mountainous regions, seeking isolation for training. They hone their karate skills with intense practice. These solitary Pokémon have a strict diet of grains, nuts, and berries. They are known for their disciplined nature."
"Sewaddle","540","Bug","Grass","Sewing Pokémon","0.3","2.5","Swarm, Chlorophyll, Overcoat","5","No","Sewaddle live in forests. They create coverings for themselves by sewing leaves together with sticky thread. They feed on fallen leaves and live in small groups. They are known for their timid, gentle nature."
"Swadloon","541","Bug","Grass","Leaf-Wrapped Pokémon","0.5","7.3","Leaf-guard, Chlorophyll, Overcoat","5","No","Swadloon are solitary Pokémon found in forests. They primarily consume decaying leaves, using their leafy exterior for camouflage. Their personality is often described as quiet and reclusive."
"Leavanny","542","Bug","Grass","Nurturing Pokémon","1.2","20.5","Swarm, Chlorophyll, Overcoat","5","No","Leavanny typically inhabit forests, where they nurture smaller Pokémon. They are known to create clothing out of leaves for other Pokémon, showcasing a caring and protective nature. Leavanny are often found in groups, displaying social behavior."
"Venipede","543","Bug","Poison","Centipede Pokémon","0.4","5.3","Poison-point, Swarm, Speed-boost","5","No","Venipede are often found in forests and grasslands. They are carnivorous, feeding on smaller insects and plants using venom secreted from their head. Solitary Pokémon that prefer to avoid conflict and have a somewhat timid personality."
"Whirlipede","544","Bug","Poison","Curlipede Pokémon","1.2","58.5","Poison-point, Swarm, Speed-boost","5","No","Whirlipede can be found in dark caves or dense forests, preying on other creatures. They are usually solitary creatures. They are considered quite aggressive when approached or feel threatened."
"Scolipede","545","Bug","Poison","Megapede Pokémon","2.5","200.5","Poison-point, Swarm, Speed-boost","5","No","Scolipede inhabit dense forests and caves. They are known predators, using their speed and agility to catch prey. They are carnivorous creatures, consuming insects and small mammals. They are solitary and aggressive creatures with territorial behavior."
"Cottonee","546","Grass","Fairy","Cotton Puff Pokémon","0.3","0.6","Prankster, Infiltrator, Chlorophyll","5","No","Cottonee are found in meadows and fields, where they drift with the wind. They are herbivores that feed on plant pollen. Their light, airy appearance and playful nature make them popular among trainers."
"Whimsicott","547","Grass","Fairy","Windveiled Pokémon","0.7","6.6","Prankster, Infiltrator, Chlorophyll","5","No","Whimsicott inhabit grassy areas and meadows. They are known for playing pranks, often causing mischief and fun, as well as living in packs. Whimsicott generally feed on sunlight but consume some plants as well."
"Petilil","548","Grass","","Bulb Pokémon","0.5","6.6","Chlorophyll, Own-tempo, Leaf-guard","5","No","Petilil reside in lush grasslands and forests, often near ponds or bodies of water. They are typically solitary Pokémon who are constantly fighting for the sun to blossom their leaves."
"Lilligant","549","Grass","","Flowering Pokémon","1.1","16.3","Chlorophyll, Own-tempo, Leaf-guard","5","No","Lilligant typically inhabit gardens and lush plains. Their diet primarily consists of sunlight and nectar. Lilligant is generally solitary but forms relationships in a group of sorts when around people or other Pokemon."
"Basculin-red-striped","550","Water","","Hostile Pokémon","1","18","Reckless, Adaptability, Mold-breaker","5","No","Basculin reside in bodies of fresh water, usually streams. Basculin is an carnivorous pokemon, primarily eating other fish, as well as living and working in large schools."
"Sandile","551","Ground","Dark","Desert Croc Pokémon","0.7","15.2","Intimidate, Moxie, Anger-point","5","No","Sandile live in arid desert regions. They are carnivorous and commonly feed on cacti that reside in the deserts, as well as working and travelling together to survive."
"Krokorok","552","Ground","Dark","Desert Croc Pokémon","1","33.4","Intimidate, Moxie, Anger-point","5","No","Krokorok reside in hot, sandy deserts. They feed on creatures that reside within these sandy desert areas. Often are solitary but find refuge within one another when necessary. "
"Krookodile","553","Ground","Dark","Intimidation Pokémon","1.5","96.3","Intimidate, Moxie, Anger-point","5","No","Krookodile live in the deep, hot parts of desert areas. They consume the desert lizards, and have adapted to be more in tune with hunting behaviors than previous evolutions. They do not work as teams in general, often opting for a solitary approach to surviving."
"Darumaka","554","Fire","","Zen Charm Pokémon","0.6","37.5","Hustle, Inner-focus","5","No","Darumaka live on peaks, and live with one another during their lifecycle. They can also be found eating local plants and leaves on the mountain peaks, however can also hunt for rodents if they choose."
"Darmanitan-standard","555","Fire","","Blazing Pokémon","1.3","92.9","Sheer-force, Zen-mode","5","No","Darmanitan-standard live on peaks with Darumaka. These creatures consume many plants, rodents, and other creatures to stay in their unique Zen Form. Darmanitan generally opt to working in pairs, supporting one another to thrive in nature."
"Maractus","556","Grass","","Cactus Pokémon","1","28","Water-absorb, Chlorophyll, Storm-drain","5","No","Maractus primarily inhabits desert regions where it can absorb ample sunlight. Its diet mainly consists of sunlight through photosynthesis, but it also consumes the occasional small desert plant for nutrients. Maractus tend to live solitary lives, as they require ample space for photosynthesis and do not typically form social bonds. They are generally docile and calm, swaying rhythmically to attract prey and absorb sunlight."
"Dwebble","557","Bug","Rock","Rock Inn Pokémon","0.3","14.5","Sturdy, Shell-armor, Weak-armor","5","No","Dwebble lives in rocky terrains, commonly found in caves, canyons, and mountains. They carve out their own rock shells to live in and protect themselves. Dwebble consumes minerals and small rocks to fortify its shell and supplement its diet with plant roots found in their habitat. These Pokémon live solitarily, protecting their chosen rock, and can exhibit territorial behavior towards other Dwebble. Dwebble are resourceful and determined, always searching for the perfect rock shelter."
